id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
5421,181,2002-11-18,DISINVESTMENT,Sale of Balmer Lawrie & Co.Ltd.,,197/3,USQ 15,
5422,181,2000-02-25,HUMAN RESOURCE DEVELOPMENT,Poor condition of Science Departments/Laboratories of Universities,,189/5,USQ 224,
5423,181,1999-03-05,HEALTH AND FAMILY WELFARE,Population control and epidemics,,186/3,SQ 152,
5424,1999,2012-03-23,AGRICULTURE,Proposal from Goernment of Andhra Pradesh for drought relief,,225/101,USQ 1099,
5425,1999,2011-11-24,"PORTS, SHIPPING AND WATERWAYS",Modernisation Plan for ports,,224/251,USQ 454,
5426,1999,2011-11-24,NITI AYOG,Preparation of BPL List,,224/237,SQ 52,
5427,1999,2011-12-15,NITI AYOG,UID number issued so far,,224/138,USQ 2561,
5428,1999,2011-08-12,HUMAN RESOURCE DEVELOPMENT,Alternative proposals for engineering entrance examination,,223/454,USQ 1480,
5429,1999,2011-08-02,PETROLEUM AND NATURAL GAS,Flaw in PSC for KG Basin Gas,,223/446,USQ 286,BHARATSINH PRABHATSINH PARMAR
5430,1999,2011-09-07,HOME AFFAIRS,Monitoring receipt of foreign donations by NGO's,,223/422,SQ 492,
5431,1999,2011-09-06,FINANCE,proposal to make tax evasion a criminal offence,,223/411,USQ 3590,
5432,1999,2011-08-26,COMMUNICATIONS & INFORMATION TECHNOLOGY,Agreement of Telecom companies,,223/336,USQ 2686,
5433,1999,2011-08-25,ROAD TRANSPORT AND HIGHWAYS,Road Safety Schemes,,223/326,USQ 2558,
5434,1999,2011-08-19,COMMUNICATIONS & INFORMATION TECHNOLOGY,TRAI  recommendations,,223/274,USQ 2057,
5435,1999,2011-08-16,FINANCE,Violation of regulations by promoters of Airtel,,223/221,USQ 1584,
5436,1999,2011-08-11,ROAD TRANSPORT AND HIGHWAYS,working groups to check road accidents,,223/188,USQ 1333,
5437,1999,2011-08-05,RAILWAYS,Mumbai-Delhi Rajdhani fire accident,,223/127,USQ 748,
5438,1999,2011-03-08,FINANCE,Customs Duty Exemptions given to Jewellery sectors,,222/225,USQ 1290,
5439,1999,2010-08-18,ROAD TRANSPORT AND HIGHWAYS,Amendments to National Highways Act,,220/325,USQ 2686,
5440,1999,2010-08-09,POWER,Collapse of BALCO chimney,,220/131,USQ 1588,
5441,1999,2010-05-07,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Implementation of NFSA with present BPL cards,,219/363,USQ 4658,
5442,1999,2010-05-07,AGRICULTURE,Loan taken from money lenders,,219/358,USQ 4628,PENUMMALLI MADHU
5443,1999,2010-05-07,RAILWAYS,Quality of food supplied in trains,,219/357,SQ 614,
5444,1999,2010-04-20,FINANCE,Lock-in periods of Insurance Companies,,219/216,USQ 2616,
5445,1999,2010-04-16,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Food Security Act,,219/192,USQ 2354,
5446,1999,2010-03-15,LAW  AND JUSTICE,Revision of court fee structure,,219/133,USQ 1907,
5447,1999,2009-12-16,COMMERCE AND INDUSTRY,New base year for formulating WPI,,218/305,USQ 2936,"NANDAMURARI HARIKRISHNA, PENUMMALLI MADHU"
5448,1999,2009-11-30,POWER,Increase in sale price of gas supplied to NTPC by RIL,,218/135,USQ 1160,"NANDAMURARI HARIKRISHNA, PENUMMALLI MADHU"
5449,1999,2009-07-29,COMMERCE AND INDUSTRY,Export of non-basmati from AP,,217/392,USQ 2731,NANDAMURARI HARIKRISHNA
5450,1999,2009-07-21,HUMAN RESOURCE DEVELOPMENT,Waiver of OBC quota in IITs,,217/291,USQ 1948,"NANDAMURARI HARIKRISHNA, R.C. SINGH"
5451,1999,2009-07-21,RURAL DEVELOPMENT,Amendment in NREGS,,217/271,SQ 255,Rajeev Shukla
5452,1999,2009-02-26,COMMUNICATIONS & INFORMATION TECHNOLOGY,availability of 3G spectrum,,215/107,USQ 1017,
5453,1999,2008-12-12,RAILWAYS,world class railway stations and budget hotels,,214/133,USQ 1377,
5454,1999,2008-12-12,RAILWAYS,recruitment in the railways,,214/126,SQ 180,
5455,1999,2008-12-11,ENVIRONMENT AND FORESTS,green house gases,,214/118,USQ 1139,
5456,1999,2008-12-11,"PORTS, SHIPPING AND WATERWAYS",Marine Emergency Relief Fund,,214/113,SQ 149,
5457,1999,2008-04-28,LAW  AND JUSTICE,maintenance of unmarried daughers,,213/392,USQ 3622,
5458,1999,2008-04-24,COMMUNICATIONS & INFORMATION TECHNOLOGY,domestic call charges,,213/347,SQ 441,
5459,1999,2008-04-30,INFORMATION AND BROADCASTING,Opening up of broadcast sector,,213/342,USQ 3955,
5460,1999,2008-04-30,HOME AFFAIRS,collapse of under construction building in Delhi,,213/338,USQ 3920,
5461,1999,2008-04-23,DEFENCE,report of external review committee of DRDO,,213/277,USQ 3131,
5462,1999,2008-04-15,FINANCE,circulation of fake currency notes,,213/266,USQ 2370,
5463,1999,2008-04-17,"PORTS, SHIPPING AND WATERWAYS",maritime development policy,,213/251,USQ 2744,
5464,1999,2008-03-20,EXTERNAL AFFAIRS,task force on disarmament and non-proliferation,,213/211,USQ 2237,
5465,1999,2007-08-31,RAILWAYS,rail projects in Andhra Pradesh,,211/264,USQ 2120,
5466,1999,2007-03-20,FINANCE,Collection of taxes,,210/228,USQ 2318,
5467,1999,2007-03-13,FINANCE,Issue of participatory notes,,210/214,USQ 1526,
5468,1999,2006-12-13,HOME AFFAIRS,Probe by AP Police regarding freedom fighters pension,,209/220,USQ 2329,
5469,1999,2006-12-12,FINANCE,Strategic sale route of disinvestment,,209/203,USQ 2144,
5470,1999,2006-12-11,LAW  AND JUSTICE,Legal aid to poor,,209/191,USQ 2014,
5471,1999,2006-08-11,HEALTH AND FAMILY WELFARE,PAC on AIIMS,,208/289,USQ 1894,
5472,1999,2006-08-18,AGRICULTURE,Committee probing into the causes for suicides,,208/239,USQ 2266,
5473,1999,2006-07-26,DEFENCE,Discrimination against women defence officers,,208/111,USQ 196,
5474,1999,2003-08-22,AGRICULTURE,Suicides by farmers,,199/195,USQ 3166,
5475,1999,2003-08-08,RAILWAYS,Computerised reservation counter at Chitradurga and Challakere in Karnataka,,199/139,USQ 2187,
5476,1999,2003-08-04,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Investment inequalities in top ten cities,,199/101,USQ 1638,
5477,1999,2002-12-16,"PORTS, SHIPPING AND WATERWAYS",National waterways projects,,197/440,SQ 370,
5478,1999,2002-12-16,HEALTH AND FAMILY WELFARE,Expansion of SCTMI,,197/258,SQ 363,
5479,1999,2002-08-02,ENVIRONMENT AND FORESTS,Rope-way for forest area in Andhra Pradesh,,196/209,SQ 282,
5480,1999,2012-03-20,PETROLEUM AND NATURAL GAS,Financial assistant  to BPL Families  for LPG connection,,225/67,USQ 755,
5481,1999,2011-12-05,COAL,Acquisition of foreign mines by CIL,,224/92,USQ 1396,
5482,1999,2011-03-04,COMMUNICATIONS & INFORMATION TECHNOLOGY,Changes in policy for allocation of spectrum,,222/93,SQ 133,
5483,1999,2011-03-03,CIVIL AVIATION,Airport revenue related  concerns,,222/75,USQ 779,
5484,1999,2011-02-24,SPACE,Failure of GSLV,,222/34,SQ 51,
5485,1999,2011-02-23,URBAN DEVELOPMENT,Projects under JNNURM,,222/30,USQ 299,
5486,1999,2011-02-23,HOME AFFAIRS,Request of AP Government to convert advance to flood relief into grant,,222/25,USQ 243,
5487,1999,2010-07-27,FINANCE,Performance of ULIPs,,220/43,USQ 156,
5488,1999,2010-07-29,COMMUNICATIONS & INFORMATION TECHNOLOGY,Use of 900 MHz and 1800 MHz bands for GSM mobile service,,220/31,USQ 428,
5489,1999,2010-02-25,COMMUNICATIONS & INFORMATION TECHNOLOGY,Deadlines for rolling out networks in the country,,219/23,USQ 299,
5490,1999,2009-11-20,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",Variation in figures of BPL beneficiaries,,218/43,USQ 173,
5491,1999,2009-11-20,CHEMICALS AND FERTILIZERS,Subsidy on imported raw materials,,218/40,USQ 168,R.C. SINGH
5492,1999,2009-11-24,CIVIL AVIATION,New Ground Handling Policy,,218/17,USQ 465,
5493,1999,2009-07-08,ROAD TRANSPORT AND HIGHWAYS,projects at DPR stage under NHDP phase-III,,217/60,USQ 546,NANDAMURARI HARIKRISHNA
5494,1999,2009-07-07,CIVIL AVIATION,stake in domestic carriers by foreign airlines,,217/28,USQ 296,NANDAMURARI HARIKRISHNA
5495,1999,2009-07-07,CIVIL AVIATION,dues of airlines,,217/26,USQ 294,NANDAMURARI HARIKRISHNA
5496,1999,2007-11-21,COMMERCE AND INDUSTRY,non-availability of residues detection facilities,,212/50,USQ 292,
5497,1999,2007-03-01,URBAN DEVELOPMENT,UIDSSMT for Andhra pradesh,,210/42,USQ 407,
5498,1999,2007-03-01,URBAN DEVELOPMENT,Urban development proposals from A.P.,,210/40,USQ 391,
5499,1999,2006-11-30,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",Inclusion of Kurnool-Kadappa and Hyderabad-Vijayawada under NHDP,,209/94,USQ 992,
5500,1999,2006-11-30,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",NHDP phase-III,,209/92,USQ 982,
5501,1999,2006-11-28,FINANCE AND COMPANY AFFAIRS,RBI package for Andhra Pradesh,,209/59,USQ 595,
5502,1999,2006-11-27,WOMEN AND CHILD DEVELOPMENT,Modern education through Anganwadi Centres,,209/48,USQ 543,
5503,1999,2006-11-24,HEALTH AND FAMILY WELFARE,Facilities available in hospitals and PHCs to face Dengue and Chikungunya,,209/36,USQ 350,"C.PERUMAL, S.G.INDIRA"
5504,1999,2006-11-22,RURAL DEVELOPMENT,Converging various systems into NEGS as suggested by second ARC,,209/13,USQ 93,
5505,1999,2010-02-23,HEALTH AND FAMILY WELFARE,Opposition to proposed BRMS course,,219/5,USQ 99,PENUMMALLI MADHU
5506,1999,2008-02-26,CULTURE,declaration of Telugu as a classical language,,213/4,USQ 19,
5507,2451,2022-03-15,"AYURVEDA, YOGA & NATUROPATHY, UNANI, SIDDHA","Setting up of Siddha Medical Research Centre at Kollimalai Hills, Tamil Nadu",,256/252,SQ 138,
5508,2451,2025-08-19,HEALTH AND FAMILY WELFARE,"INCREASE IN MBBS SEATS IN TAMIL
NADU",,268/16,USQ 3007,
5509,2451,2024-08-07,WOMEN AND CHILD DEVELOPMENT,CASES REGISTERED UNDER THE POCSO ACT,,265/36,USQ 1920,
5510,2451,2023-12-20,ROAD TRANSPORT AND HIGHWAYS,FASTAG TRANSACTIONS IN THE COUNTRY,,262/88,SQ 188,
5511,2451,2023-08-09,Education,Universities and Colleges in the Country Operating without Accreditation,,260/37,USQ 2270,
5512,2451,2023-03-20,Housing and Urban Affairs,Corruption in PM-Uday Scheme,,259/49,USQ 2143,
5513,2451,2022-08-03,ROAD TRANSPORT AND HIGHWAYS,Closure of Toll plazas,,257/46,SQ 181,
5514,182,2003-04-28,URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Poverty schemes falling flat,,198/428,USQ 4004,
5515,182,2002-08-06,TOURISM AND CULTURE,All India cultural/folklore festivals,,196/123,SQ 326,SANTOSH BAGRODIA
5516,182,2001-11-21,HOME AFFAIRS,Setting up of human rights courts in States,,194/33,SQ 51,
5517,2001,2011-09-06,ENVIRONMENT AND FORESTS,Involvement of officials in encroachment of forest land,,223/410,USQ 3578,
5518,2001,2011-08-24,COMMERCE AND INDUSTRY,Increase in import dury on apples,,223/301,USQ 2333,
5519,2001,2011-08-18,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Expending the definition of family,,223/263,USQ 1939,
5520,2001,2011-08-18,CIVIL AVIATION,Salary to Staff Members,,223/258,USQ 1894,
5521,2001,2011-08-10,HOME AFFAIRS,Splitting MCD into three corporations,,223/157,USQ 1129,
5522,2001,2010-08-09,COAL,Approval for providing coal linkage to Bihar,,220/114,USQ 1486,
5523,2001,2009-12-14,INFORMATION AND BROADCASTING,appointment of TV news correspondents.,,218/382,SQ 342,
5524,2001,2009-12-21,INFORMATION AND BROADCASTING,Gazette notification for officers of Doordarshan,,218/341,USQ 3454,
5525,2001,2009-12-16,HOME AFFAIRS,Settlement of pensions of paramilitary forces,,218/309,USQ 2964,
5526,2001,2009-12-07,LAW  AND JUSTICE,Creation of All India Judicial Service,,218/202,USQ 1917,Mohd. Ali Khan
5527,2001,2009-08-06,URBAN DEVELOPMENT,accommodations to Delhi Government Employees from central pool,,217/493,USQ 3618,
5528,2001,2009-07-28,HOME AFFAIRS,Increasing incidents of honour killings and honour related crimes and the role of self-proclaimed panchayats,,217/388,,
5529,2001,2009-07-21,HUMAN RESOURCE DEVELOPMENT,Audit of Kendriya Vidyalaya expenditure,,217/286,USQ 1907,
5530,2001,2009-07-16,HOUSING AND URBAN POVERTY ALLEVIATION,liberation of scavengers,,217/223,USQ 1403,
5531,2001,2008-12-10,RURAL DEVELOPMENT,fake bank guarantees by contractors in Himachal Pradesh,,214/111,USQ 1059,
5532,2001,2008-04-24,URBAN DEVELOPMENT,road linkage for Najafgarh via Shyam Vihar,,213/432,USQ 3376,HARISH RAWAT
5533,2001,2008-04-24,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",unnecessary intersections on NH,,213/366,USQ 3355,
5534,2001,2007-05-10,COMMUNICATIONS & INFORMATION TECHNOLOGY,Complaints pending under Nalanda Telephone Exchange,,210/476,USQ 3849,
5535,2001,2009-07-10,RAILWAYS,vacant posts in Railways,,217/68,SQ 102,
5536,2001,2009-02-18,RURAL DEVELOPMENT,bridge on Mathred river in Chirgaon Tehsil of Shimla,,215/34,USQ 366,
5537,2001,2009-02-18,HOME AFFAIRS,traffic problems at Gol Dakkhana in Delhi,,215/25,SQ 43,
5538,2001,2008-03-10,HUMAN RESOURCE DEVELOPMENT,adulterated food under mid-day meal scheme,,213/42,USQ 945,
5539,2001,2007-11-15,URBAN DEVELOPMENT,work in CPWD quarters,,212/5,USQ 42,
5540,184,2006-03-08,LABOUR AND EMPLOYMENT,Double entry book keeping for maintaining its account by EPFO,,207/159,USQ 1742,CHITTABRATA MAJUMDAR
5541,184,2006-03-07,FINANCE AND COMPANY AFFAIRS,Recovery of taxes,,207/144,USQ 1518,BRINDA KARAT
5542,184,2005-12-22,COAL,Coal extraction by Coal-Videsh,,206/284,SQ 425,Ram Jethmalani
5543,184,2005-08-23,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION","The Ware Housing Corporations (Amendment) Bill, 2005",,205/405,,
5544,184,2005-08-22,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Purchase preference policy,,205/394,USQ 2682,CHITTABRATA MAJUMDAR
5545,184,2005-08-04,COAL,Coal blocks allotted to NTPC,,205/341,USQ 1116,
5546,184,2005-08-02,CIVIL AVIATION,Policy on parking space at Airports,,205/337,SQ 124,JANARDAN DWIVEDI
5547,184,2005-08-16,FINANCE,Post closure adjustment on sale of PSUs,,205/230,SQ 303,
5548,184,2005-08-08,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Revival of Braithwaite and Company Ltd.,,205/152,USQ 1428,
5549,184,2005-05-05,LABOUR AND EMPLOYMENT,Minimum wages to Beedi workers,,204/637,SQ 589,
5550,184,2005-04-28,COAL,Application pending with Ministry of Coal from Chhattisgarh,,204/418,SQ 484,
5551,184,2005-04-21,COMMUNICATIONS & INFORMATION TECHNOLOGY,BSNL`s Demand against MTNL,,204/340,SQ 406,
5552,184,2005-03-23,POWER,New electricity policy,,204/178,SQ 302,
5553,184,2004-12-22,POWER,Involvement of NTPC in Revival of DPC,,203/336,USQ 2190,
5554,184,2004-12-17,CHEMICALS AND FERTILIZERS,Cosnversion to gas/coal based plants,,203/219,USQ 1617,
5555,184,2004-12-17,RAILWAYS,Violation of Labour Laws,,203/216,SQ 241,
5556,184,2004-08-20,POWER,Clean coal technology based fertilizer plants,,202/297,USQ 1812,
5557,184,2004-07-12,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,"REvival of HMT, Srinagar and Nagaland Peper Pulp Ltd.",,202/237,USQ 188,
5558,184,2004-08-19,LABOUR AND EMPLOYMENT,Labour related issues in MFI and BALCO,,202/148,SQ 354,
5559,184,2003-12-11,RAILWAYS,Taking over of Bharat Wagon Ltd.,,200/211,USQ 1190,
5560,184,2003-12-23,FINANCE AND COMPANY AFFAIRS,Recovery of corporate tax,,200/186,USQ 2204,
5561,184,2003-12-22,HEALTH AND FAMILY WELFARE,Pesticide contents in food,,200/162,SQ 284,
5562,184,2003-04-21,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Profit of Public Sector Enterprises,,198/552,SQ 425,
5563,184,2003-04-08,FINANCE AND COMPANY AFFAIRS,Sick PSUs,,198/544,SQ 362,
5564,184,2003-04-08,FINANCE AND COMPANY AFFAIRS,Fund for disinvestment proceeds,,198/331,USQ 2687,
5565,184,2003-03-06,ROAD TRANSPORT AND HIGHWAYS,Collapse of bridge at NH-6 in West Bengal,,198/189,USQ 1682,
5566,184,2002-12-04,DISINVESTMENT,Discussion on Disinvestment of Public Sector Undertakings,,197/490,,
5567,184,2002-12-10,FINANCE AND COMPANY AFFAIRS,Deposits Insurance Corporation for NBFCs,,197/445,SQ 282,
5568,184,2002-12-18,POWER,Tax waiver policy for Naphtha-based power projects,,197/425,SQ 402,
5569,184,2002-12-11,POWER,Fly ash from Suratgarh Super Thermal Power Station,,197/400,SQ 307,
5570,184,2002-08-05,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Revival of BOGL,,196/221,USQ 1991,
5571,184,2002-08-02,STEEL,Revival package for IISCO,,196/109,USQ 1904,
5572,184,2002-05-10,CHEMICALS AND FERTILIZERS,Non availability of urea,,195/485,SQ 641,
5573,184,2002-05-09,LABOUR AND EMPLOYMENT,Unorganised farm labourers,,195/358,SQ 621,
5574,184,2002-04-30,FINANCE AND COMPANY AFFAIRS,Acquisition of M/s Jessop and Co.Ltd.,,195/322,USQ 3735,
5575,184,2002-05-03,STEEL,BIFR Time frame for IISCO`s Rehabilitation,,195/307,SQ 559,
5576,184,2002-03-19,FINANCE AND COMPANY AFFAIRS,The outstanding amount of unrecovered tax,,195/153,USQ 1685,
5577,184,2001-12-13,LABOUR AND EMPLOYMENT,Amendment in ID Act,,194/244,USQ 2682,
5578,184,2001-11-22,EXTERNAL AFFAIRS,Rent revision for the residence of Indian High Commissioner in UK,,194/191,SQ 80,
5579,184,2001-08-09,LABOUR AND EMPLOYMENT,I.D.act,,193/261,USQ 2052,
5580,184,2001-03-02,RAILWAYS,Recruitment of Group D employees in Railways,,192/298,SQ 136,
5581,184,2001-04-20,RAILWAYS,Orders for wagons,,192/248,SQ 502,Barjinder Singh Hamdard
5582,184,2001-04-17,DISINVESTMENT,Valuation of TBP Assets,,192/222,USQ 3446,
5583,184,2000-12-18,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Orders of Calcutta High court relating to RIC,,191/244,USQ 3047,
5584,184,2000-12-15,RAILWAYS,Enquiry report on Gaisal accident,,191/236,USQ 2967,CHANDRA KALA PANDEY
5585,184,2000-12-05,FINANCE AND COMPANY AFFAIRS,Recovery of outstanding amount of tax,,191/141,USQ 1655,
5586,184,2000-12-04,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Budgetary support to National Instruments Ltd.,,191/124,USQ 1488,NILOTPAL BASU
5587,184,2000-12-01,YOUTH AFFAIRS & SPORTS,Reducing the number of one day cricket matches,,191/116,USQ 1434,
5588,184,2000-08-17,LABOUR AND EMPLOYMENT,Reversing the decision to reduce the EPF interest rate,,190/162,USQ 2739,"ABANI ROY                               , Jibon Roy, MABEL REBELLO                           , Md. SALIM"
5589,184,2000-05-08,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Revival of M/s Weigh Bird,,189/264,USQ 4471,
5590,184,2000-05-03,POWER,Decline in T&D losses in DPS Co.Ltd.,,189/237,SQ 525,
5591,184,2000-04-24,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Revival of Bogl,,189/172,USQ 3131,
5592,184,2000-02-28,STEEL,Providing stainless steel slabs to SSP,,189/133,USQ 405,
5593,184,1998-07-20,AGRICULTURE,"raised on 20-7-1998 during the discussion on Motion for consideration of the Appropriation(No.3) Bill,1998",,184/185122,,
5594,184,1998-11-30,LABOUR AND EMPLOYMENT,Creches in tea plantations,,185/119,USQ 72,
5595,184,2006-02-21,FINANCE AND COMPANY AFFAIRS,FDI in assets reconstruction companies,,207/21,SQ 41,
5596,184,2004-12-09,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",Revival plan for HDPEL,,203/66,USQ 809,
5597,184,2004-07-13,FINANCE AND COMPANY AFFAIRS,Recovery of taxes,,202/44,USQ 273,
5598,184,2002-11-25,DISINVESTMENT,Transfer of IOC outlet at Mumbai,,197/53,USQ 481,
5599,184,2002-11-21,ATOMIC ENERGY,Emission of Radiation,,197/23,SQ 41,
5600,184,2002-07-23,FINANCE AND COMPANY AFFAIRS,Diversion of Loans by Essar Group,,196/32,SQ 121,
5601,184,2002-03-08,STEEL,Railways` dues to IISCO,,195/77,USQ 1060,
5602,184,2002-03-08,RAILWAYS,Amount payable by the Railways to IISCO,,195/72,USQ 1010,
5603,184,2002-03-08,STEEL,Blast furnace of IISCO,,195/60,SQ 139,
5604,184,2001-07-25,COAL,Survival/Revival plan of ECLX,,193/11,USQ 317,
5605,184,2001-03-05,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Amount spent on VRS/VSS in PSEs,,192/61,USQ 1013,
5606,184,2001-02-27,FINANCE AND COMPANY AFFAIRS,Recovery of Tax,,192/39,USQ 638,
5607,184,2000-11-24,RAILWAYS,Recruitment of Group-D employees in Railways,,191/40,USQ 609,CHANDRA KALA PANDEY
5608,184,2000-07-31,DISINVESTMENT,Newsitem `Six sick units sent to Morgue`,,190/46,USQ 819,
5609,184,2000-07-31,DISINVESTMENT,Sale of PSUs without revaluation of assets,,190/45,USQ 818,
5610,184,1999-12-13,STEEL,Floating of Joint Venture by SAIL,,188/74,USQ 1187,NILOTPAL BASU
5611,184,1999-12-14,FINANCE AND COMPANY AFFAIRS,Diversion of funds vis-a-vis Ispat Industry and Jindal Vijayanagar Steel Project.,,188/12,USQ 1283,
5612,184,1999-03-08,COMMERCE AND INDUSTRY,Revival of TCIL,,186/88,SQ 169,NILOTPAL BASU
5613,184,1999-03-05,RAILWAYS,Killing of five persons by local train in Calcutta,,186/86,USQ 1208,
5614,184,1999-12-08,PETROLEUM AND NATURAL GAS,Disinvestment of Govt. shares in GAIL at a lower price than best possible price,,186/26,,
5615,184,1998-07-09,PETROLEUM AND NATURAL GAS,Criterial for award of oil blocks to private companies,,184/97,USQ 2558,
5616,184,1998-07-10,CHEMICALS AND FERTILIZERS,Rehabilitation of sick fertilizer Units.,,184/60,USQ 2600,
5617,184,1998-06-08,STEEL,Removal of freight equalisation scheme,,184/44,USQ 1322,
5618,184,1998-06-05,HEALTH AND FAMILY WELFARE,Specifications for mineral water,,183/38,SQ 146,
5619,184,1998-06-05,CHEMICALS AND FERTILIZERS,Plan for revival of Smith Stanistreet Pharmaceutical Limited (SSPL),,183/29,USQ 1051,
5620,184,1998-06-09,"PORTS, SHIPPING AND WATERWAYS",Financial performance of CIWTC,,183/28,USQ 1495,ASHOK MITRA
5621,184,1997-05-14,TEXTILES,Revival plan for NTC and NJMC units in West Bengal,,180/21,USQ 4240,NILOTPAL BASU
5622,184,2006-02-17,HEALTH AND FAMILY WELFARE,Ban on globally discarded drugs,,207/3,SQ 3,SANTOSH BAGRODIA
5623,184,2000-11-20,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,News-item `No Takers for Joshi`s white paper on PSUs`.,,191/3,USQ 38,
5624,184,2000-02-25,RAILWAYS,Vacancies of Drivers etc. i Railways,,189/9,USQ 284,
5625,2002,2017-04-07,HUMAN RESOURCE DEVELOPMENT,Payment of salary to teachers in Coal India Ltd.,,242/273,,
5626,2002,2017-03-16,HUMAN RESOURCE DEVELOPMENT,"Appointment in Indira Gandhi National Tribal University, Amarkantak",,242/113,USQ 1650,
5627,2002,2015-12-16,LABOUR AND EMPLOYMENT,Enactment of law to protect domestic workers,,237/196,USQ 2023,
5628,2002,2013-08-27,HEALTH AND FAMILY WELFARE,Distribution of Unani and Ayurvedic medicines through internet,,229/158,USQ 1968,
5629,2002,2012-05-18,HUMAN RESOURCE DEVELOPMENT,Minimum  eligibility for OBCs for appearing in NET Examination,,225/453,USQ 4740,
5630,2002,2010-05-03,INFORMATION AND BROADCASTING,Promotional avenues for TVNCs,,219/308,USQ 4064,
5631,2002,2010-04-16,RAILWAYS,Harassment of small catering licencees by IRCTC,,219/199,USQ 2421,
5632,2002,2010-03-12,RAILWAYS,Contracts for food plazas,,219/124,USQ 1791,
5633,2002,2009-12-03,NITI AYOG,Special status to Bihar,,218/363,USQ 1614,
5634,2002,2009-12-17,URBAN DEVELOPMENT,"Condition of flats in CGH Complex, Vasant Vihar",,218/327,USQ 3204,
5635,2002,2009-12-14,MINORITY AFFAIRS,SC status of Dalit Christians and Dalit Muslims,,218/282,USQ 2713,
5636,2002,2009-12-10,MINORITY AFFAIRS,Laying of Rangnath Mishra Commission Report to House,,218/250,USQ 2401,
5637,2002,2009-12-09,TEXTILES,Bio-metric survey of Handloom weavers,,218/238,USQ 2298,
5638,2002,2009-11-30,MINORITY AFFAIRS,Report of NCRLM,,218/133,USQ 1150,
5639,2002,2009-11-30,HUMAN RESOURCE DEVELOPMENT,Pay fixation anomaly cases of fifth pay commission in KVs,,218/106,USQ 965,
5640,2002,2008-04-23,HOME AFFAIRS,appointment of Governors,,213/280,USQ 3150,
5641,2002,2008-03-17,SOCIAL JUSTICE AND EMPOWERMENT,redressal of complaints of backward classes,,213/163,USQ 1828,
5642,2002,2008-03-05,TEXTILES,loan facility to weavers,,213/100,USQ 770,
5643,2002,2007-12-03,MINORITY AFFAIRS,report of Ranganth Mishra Commission,,212/179,USQ 1393,
5644,2002,2007-12-04,CULTURE,National Cultural Policy,,212/161,USQ 1514,
5645,2002,2007-05-09,TEXTILES,Welfare measures for weavers,,210/340,SQ 481,
5646,2002,2013-12-16,HUMAN RESOURCE DEVELOPMENT,Reservation policy in Central universities,,230/84,USQ 1136,
5647,2002,2008-10-24,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",diversion of foodgrains meant for flood relief,,214/67,SQ 109,RAJNITI PRASAD
5648,2454,2021-08-09,"PORTS, SHIPPING AND WATERWAYS",Draft Indian ports Bill 2021,,254/87,USQ 2370,
5649,185,2003-04-21,COMMERCE AND INDUSTRY,"Trade points with China, Myanmar, etc.",,198/352,SQ 422,
5650,185,2002-12-03,CIVIL AVIATION,International look to the airports at metropolitan cities,,197/369,SQ 203,
5651,185,2001-11-23,AGRICULTURE,Fixation of support price of agricultural products by States,,194/192,SQ 81,
5652,185,2001-08-01,TOURISM AND CULTURE,"Priceless treasure found in Geesukonda,Warngal(A.P.)",,193/298,SQ 141,
5653,185,2000-12-01,CHEMICALS AND FERTILIZERS,Subsidy on fertilizers,,191/106,SQ 182,
5654,185,2000-08-21,STEEL,Mining operations by KIOCL,,190/217,SQ 393,K. Rahman Khan
5655,185,2000-08-11,HEALTH AND FAMILY WELFARE,World Bank funds for medical facilities in U.P.,,190/124,SQ 281,
5656,185,2000-08-09,NON-CONVENTIONAL ENERGY SOURCES,Status of Projects,,190/112,SQ 241,
5657,185,2000-05-08,FINANCE AND COMPANY AFFAIRS,"Annulment of banks (Management and Miscellaneous Provisions) Amendment Scheme,2000",,189/370,,
5658,185,2000-05-15,COMMERCE AND INDUSTRY,Funds to the state Government under critical Infrastructure Balance scheme (CIBS),,189/309,SQ 681,
